cod_nota,nota_NP1,nota_NP2,nota_exame,semestre,ano,cod_disciplina,cod_aluno
51,9.16,2.82,1.3,1,2013,751,1
52,8.02,8.31,0.0,2,2017,752,1
53,5.14,4.67,5.99,1,2013,753,1
54,7.83,6.59,0.0,2,2018,754,1
55,0.0,4.36,1.68,1,2017,755,1
56,7.64,4.68,7.99,2,2015,952,2
57,5.54,6.12,9.84,1,2017,953,2
58,8.38,0.83,9.8,2,2017,954,2
59,9.73,2.64,4.13,2,2015,955,2
60,9.74,0.14,5.87,1,2018,956,2
61,1.79,3.16,6.33,1,2011,957,2
62,4.06,3.15,3.89,1,2012,958,2
63,3.01,5.65,7.8,2,2017,959,2
64,1.09,2.84,7.69,2,2018,960,2
65,5.46,4.27,3.32,2,2018,961,2
66,7.67,9.22,0.0,2,2018,962,2
67,9.04,2.39,2.04,2,2020,963,2
68,8.34,5.35,3.91,1,2017,964,2
69,0.26,7.18,1.33,1,2015,965,2
70,1.03,0.97,8.46,2,2016,966,2
71,5.35,1.39,6.22,1,2014,967,2
72,4.67,7.57,7.59,2,2016,968,2
73,8.96,0.52,4.69,1,2015,969,2
74,1.08,1.28,9.32,2,2016,970,2
75,4.19,4.68,2.29,1,2014,971,2
76,5.98,2.1,2.77,2,2012,972,2
77,3.32,7.84,4.33,2,2014,973,2
78,4.19,6.98,5.58,2,2016,974,2
79,1.52,4.45,0.64,1,2011,975,2
80,5.67,9.63,0.0,1,2020,976,2
81,9.28,6.64,0.0,1,2015,977,2
82,6.75,6.24,3.14,2,2016,978,2
83,2.2,7.1,1.32,2,2016,979,2
84,2.35,8.38,9.79,1,2018,1036,3
85,3.1,9.83,0.54,2,2016,1037,3
86,6.81,0.81,0.31,2,2015,1038,3
87,3.24,3.1,4.56,2,2019,1039,3
88,4.54,6.8,2.36,2,2014,1040,3
89,1.86,8.38,5.27,1,2011,1041,3
90,6.62,1.63,5.7,1,2013,1042,3
91,9.33,8.48,0.0,1,2015,1043,3
92,6.09,6.83,5.29,2,2018,1044,3
93,2.85,0.18,4.6,2,2015,1045,3
94,8.95,2.3,6.12,2,2017,1046,3
95,1.42,7.58,1.39,1,2019,1047,3
96,6.29,1.52,7.51,1,2014,1048,3
97,4.66,3.56,0.74,2,2010,1049,3
98,2.27,5.29,9.37,2,2014,1050,3
99,8.88,9.26,0.0,1,2014,1051,3
100,3.2,1.08,1.46,1,2012,1052,3
101,8.02,0.95,6.29,1,2012,1053,3
102,3.04,4.29,9.8,1,2018,1054,3
103,8.06,1.95,6.74,1,2014,1055,3
104,7.06,9.59,0.0,1,2015,1056,3
105,4.33,8.55,0.76,1,2015,1057,3
106,0.98,0.37,8.83,2,2014,1058,3
107,8.92,7.27,0.0,1,2018,1059,3
108,2.4,0.95,1.61,1,2018,1060,3
109,1.59,1.39,5.46,2,2017,1061,3
110,5.4,0.05,9.52,1,2016,1062,3
111,7.43,1.18,0.43,2,2015,1063,3
112,7.04,4.5,9.53,2,2017,1064,4
113,0.05,2.84,8.64,1,2012,1065,4
114,4.6,0.54,4.4,1,2014,1066,4
115,1.29,5.98,1.96,1,2014,1067,4
116,2.14,7.69,3.8,1,2010,1068,4
117,4.4,2.63,4.55,2,2015,1069,4
118,6.08,4.74,5.69,1,2014,1070,4
119,2.53,1.53,3.99,1,2017,1071,4
120,4.0,2.12,9.32,1,2016,1072,4
121,1.63,9.25,0.35,2,2016,1073,4
122,1.36,2.37,4.28,1,2020,1074,4
123,3.96,9.53,2.93,2,2013,1075,4
124,6.39,3.64,1.8,1,2013,1076,4
125,0.96,8.96,5.89,2,2020,1077,4
126,4.36,1.15,2.23,1,2014,1078,4
127,3.24,0.8,5.48,2,2017,1079,4
128,1.17,3.77,3.71,1,2018,1080,4
129,6.75,9.39,0.0,2,2017,1081,4
130,0.54,5.15,3.61,1,2018,1082,4
131,9.95,2.1,5.39,2,2018,1083,4
132,2.31,5.44,6.49,1,2011,1084,4
133,6.17,9.46,0.0,1,2017,1085,4
134,5.38,0.43,8.87,2,2015,1086,4
135,3.19,6.12,3.33,2,2018,1087,4
136,5.14,0.81,9.89,2,2016,1088,4
137,3.39,8.38,4.44,2,2012,1089,4
138,7.01,9.73,0.0,1,2012,1090,4
139,6.12,1.44,2.62,2,2016,1091,4
140,5.39,2.76,1.87,1,2013,224,5
141,8.38,8.67,0.0,1,2015,225,5
142,7.5,4.85,8.94,1,2013,226,5
143,5.18,4.45,3.74,2,2011,227,5
144,7.12,5.66,3.01,1,2015,228,5
145,4.65,1.55,8.68,1,2015,229,5
146,1.47,0.05,7.55,1,2013,230,5
147,9.56,7.08,0.0,1,2014,231,5
148,2.65,2.42,3.15,1,2015,232,5
149,9.13,4.01,5.59,2,2017,233,5
150,0.53,4.5,3.42,1,2016,234,5
151,3.65,3.17,6.68,2,2014,235,5
152,4.26,4.4,1.35,2,2017,236,5
153,3.46,0.93,1.0,1,2017,237,5
154,7.3,4.48,8.83,2,2016,238,5
155,9.64,8.84,0.0,1,2013,239,5
156,7.07,7.66,0.0,2,2014,240,5
157,2.44,2.04,6.43,2,2015,241,5
158,4.1,5.72,6.41,2,2016,242,5
159,0.4,0.26,1.38,1,2015,243,5
160,7.63,1.6,8.27,1,2017,244,5
161,2.21,2.47,1.91,1,2019,245,5
162,2.69,1.05,4.79,1,2016,246,5
163,1.28,7.76,2.06,2,2015,247,5
164,7.13,6.91,0.0,2,2013,248,5
165,4.09,2.51,2.83,1,2017,249,5
166,0.5,4.68,4.98,2,2013,250,5
167,5.36,2.4,4.97,2,2019,251,5
168,8.07,4.07,2.72,1,2012,112,6
169,5.05,4.11,6.19,2,2014,113,6
170,5.12,0.79,7.55,2,2015,114,6
171,2.66,6.31,5.43,2,2011,115,6
172,2.48,1.47,5.77,2,2012,116,6
173,5.88,4.99,3.53,1,2012,117,6
174,8.72,3.32,0.67,2,2015,118,6
175,4.73,8.16,3.22,2,2013,119,6
176,1.27,3.28,8.07,1,2013,120,6
177,5.74,3.04,9.47,1,2012,121,6
178,2.58,1.63,8.31,2,2013,122,6
179,1.54,4.95,1.64,2,2014,123,6
180,7.87,3.62,5.91,2,2013,124,6
181,0.53,5.79,9.41,1,2015,125,6
182,9.69,9.06,0.0,1,2015,126,6
183,2.94,2.91,2.72,1,2019,127,6
184,6.4,5.36,1.41,2,2015,128,6
185,3.24,1.93,3.81,2,2015,129,6
186,7.25,0.34,8.81,1,2018,130,6
187,5.23,6.6,0.51,1,2013,131,6
188,7.78,8.58,0.0,1,2014,132,6
189,3.69,1.44,7.17,2,2017,133,6
190,9.09,3.14,2.0,2,2018,134,6
191,1.8,8.75,6.78,1,2017,135,6
192,5.73,9.81,0.0,1,2017,136,6
193,0.89,2.21,3.46,1,2013,137,6
194,5.91,2.69,4.06,1,2013,138,6
195,2.28,8.63,6.3,2,2017,139,6
196,3.88,5.09,7.09,2,2020,644,7
197,5.06,3.21,8.29,2,2017,645,7
198,2.55,0.79,7.17,1,2017,646,7
199,3.93,8.54,8.22,2,2015,647,7
200,5.38,3.93,8.13,1,2015,648,7
201,6.48,1.68,3.22,1,2020,649,7
202,9.95,3.13,5.98,1,2019,650,7
203,0.14,4.43,8.25,1,2015,651,7
204,8.86,8.63,0.0,1,2015,652,7
205,5.31,0.94,6.98,2,2018,653,7
206,8.56,1.01,8.89,1,2012,654,7
207,1.85,4.18,9.08,1,2017,655,7
208,1.68,4.2,6.6,2,2014,656,7
209,7.17,9.46,0.0,2,2015,657,7
210,6.99,9.87,0.0,2,2016,658,7
211,0.23,6.3,8.83,1,2012,659,7
212,5.97,4.72,5.14,2,2016,660,7
213,0.15,5.1,8.79,2,2014,661,7
214,7.89,6.0,0.62,1,2013,662,7
215,4.81,1.06,6.48,2,2011,663,7
216,9.79,9.61,0.0,2,2013,664,7
217,0.63,4.84,6.79,2,2013,665,7
218,9.05,0.43,4.46,1,2017,666,7
219,1.51,3.29,4.32,2,2016,667,7
220,3.06,9.42,0.41,1,2017,668,7
221,8.99,2.5,1.32,2,2012,669,7
222,7.42,5.02,7.7,1,2014,670,7
223,3.68,6.11,7.75,1,2018,671,7
224,9.21,4.85,0.0,1,2016,280,8
225,5.47,0.58,0.59,2,2012,281,8
226,9.87,8.77,0.0,2,2012,282,8
227,4.63,2.11,5.14,1,2020,283,8
228,2.53,8.1,8.81,1,2015,284,8
229,0.76,0.85,4.79,1,2010,285,8
230,0.19,9.33,9.31,2,2014,286,8
231,2.1,4.17,2.21,1,2013,287,8
232,3.17,4.02,3.64,2,2018,288,8
233,0.91,9.7,0.25,1,2015,289,8
234,8.97,4.25,8.76,2,2016,290,8
235,8.06,2.05,6.06,1,2018,291,8
236,0.88,1.0,1.76,1,2010,292,8
237,5.19,7.09,0.03,2,2016,293,8
238,4.67,3.02,4.82,2,2020,294,8
239,0.22,1.58,2.19,1,2018,295,8
240,8.67,7.36,0.0,1,2011,296,8
241,4.78,2.5,3.79,1,2019,297,8
242,0.04,8.96,6.0,2,2012,298,8
243,9.52,3.08,3.32,2,2017,299,8
244,3.28,5.42,5.01,1,2010,300,8
245,1.67,7.16,4.86,2,2011,301,8
246,0.51,9.48,1.48,2,2019,302,8
247,2.08,1.46,7.21,1,2019,303,8
248,6.78,8.36,0.0,1,2013,304,8
249,3.61,2.44,9.64,1,2014,305,8
250,6.74,1.98,0.08,2,2012,306,8
251,6.38,2.13,2.14,2,2015,307,8
252,2.01,4.88,5.5,1,2016,448,9
253,9.79,2.54,7.19,2,2017,449,9
254,6.68,6.0,2.98,2,2012,450,9
255,0.6,7.17,4.33,1,2018,451,9
256,5.75,3.82,9.65,1,2017,452,9
257,0.59,0.56,7.4,2,2015,453,9
258,7.23,3.16,9.75,1,2014,454,9
259,9.79,7.06,0.0,1,2016,455,9
260,0.84,8.51,5.96,2,2010,456,9
261,7.66,6.48,0.0,1,2018,457,9
262,4.9,3.77,1.51,1,2015,458,9
263,0.59,9.38,4.85,2,2017,459,9
264,2.28,4.04,0.66,2,2014,460,9
265,6.53,3.93,1.84,2,2017,461,9
266,1.87,6.3,9.07,2,2014,462,9
267,8.61,4.22,8.62,2,2016,463,9
268,8.83,8.07,0.0,2,2015,464,9
269,8.66,3.36,9.62,2,2015,465,9
270,5.62,5.38,1.21,2,2014,466,9
271,6.77,4.54,0.38,1,2014,467,9
272,5.08,8.93,0.0,1,2014,468,9
273,6.6,8.26,0.0,2,2016,469,9
274,9.55,7.67,0.0,2,2011,470,9
275,3.84,7.19,1.38,2,2015,471,9
276,0.83,0.23,8.16,1,2018,472,9
277,8.62,4.13,7.2,1,2014,473,9
278,5.61,9.68,0.0,2,2011,474,9
279,2.94,6.94,4.26,2,2015,475,9
280,3.24,9.97,0.28,1,2014,644,10
281,4.28,2.9,6.73,2,2016,645,10
282,1.56,0.44,0.05,2,2017,646,10
283,6.09,4.07,4.68,1,2011,647,10
284,5.29,1.19,0.54,2,2014,648,10
285,5.56,3.9,3.14,2,2016,649,10
286,4.07,3.74,4.93,2,2016,650,10
287,1.27,9.27,5.82,1,2018,651,10
288,0.14,2.41,9.74,1,2014,652,10
289,5.21,8.56,4.75,1,2014,653,10
290,9.8,3.35,3.03,1,2018,654,10
291,3.57,6.9,2.76,1,2011,655,10
292,8.33,5.49,7.63,1,2014,656,10
293,4.26,1.08,5.44,2,2013,657,10
294,3.98,9.93,3.81,1,2016,658,10
295,7.13,4.75,6.05,2,2015,659,10
296,3.11,0.47,7.56,1,2013,660,10
297,6.87,7.22,0.0,1,2016,661,10
298,8.93,2.38,2.18,1,2015,662,10
299,9.03,0.94,4.2,1,2020,663,10
300,5.79,8.36,0.0,1,2012,664,10
301,9.14,3.49,5.19,2,2015,665,10
302,8.18,4.73,8.48,2,2016,666,10
303,5.8,8.24,0.0,1,2014,667,10
304,6.74,9.77,0.0,2,2019,668,10
305,8.84,1.82,2.21,1,2014,669,10
306,9.68,6.79,0.0,1,2016,670,10
307,7.5,4.15,9.69,2,2014,671,10
308,7.01,5.37,5.12,1,2016,784,11
309,1.47,9.69,3.88,2,2013,785,11
310,2.88,5.41,0.99,2,2011,786,11
311,5.36,3.32,6.44,1,2015,787,11
312,3.68,0.34,0.1,1,2011,788,11
313,1.33,9.35,9.82,2,2015,789,11
314,7.01,9.56,0.0,2,2020,790,11
315,8.3,3.99,6.77,1,2011,791,11
316,4.07,1.28,2.3,2,2016,792,11
317,2.29,8.14,2.86,2,2013,793,11
318,2.87,5.45,3.13,2,2015,794,11
319,2.49,7.27,9.46,1,2013,795,11
320,9.34,1.89,0.11,2,2015,796,11
321,1.82,9.33,0.0,1,2013,797,11
322,4.33,8.62,4.28,2,2019,798,11
323,9.92,2.12,9.92,1,2013,799,11
324,1.19,2.47,6.95,2,2016,800,11
325,9.02,0.05,7.96,2,2016,801,11
326,8.36,1.32,2.37,2,2010,802,11
327,2.03,8.39,3.91,2,2016,803,11
328,4.22,4.57,5.03,2,2013,804,11
329,5.54,4.36,2.32,2,2015,805,11
330,1.86,4.0,6.59,1,2015,806,11
331,3.82,8.24,7.08,1,2017,807,11
332,0.34,9.99,1.96,2,2017,808,11
333,2.53,3.97,0.91,1,2011,809,11
334,4.07,2.67,5.48,2,2014,810,11
335,4.34,8.96,2.89,2,2013,811,11
336,6.57,7.1,3.77,1,2015,112,12
337,0.97,3.11,0.23,2,2015,113,12
338,9.23,7.69,0.0,1,2016,114,12
339,3.68,5.82,7.05,1,2011,115,12
340,4.89,3.79,0.48,2,2010,116,12
341,1.78,0.12,8.89,2,2017,117,12
342,2.89,2.89,2.5,1,2014,118,12
343,4.34,7.21,1.56,1,2014,119,12
344,7.92,1.47,3.03,2,2018,120,12
345,7.85,8.67,0.0,1,2014,121,12
346,9.48,7.08,0.0,2,2018,122,12
347,9.48,8.07,0.0,2,2016,123,12
348,6.27,6.12,4.48,1,2015,124,12
349,9.31,8.35,0.0,1,2015,125,12
350,8.08,0.89,3.84,2,2014,126,12
351,5.44,0.97,5.21,1,2014,127,12
352,3.65,8.29,8.47,2,2016,128,12
353,3.0,8.38,3.62,2,2015,129,12
354,7.84,8.5,0.0,1,2012,130,12
355,9.97,1.33,5.11,2,2013,131,12
356,9.67,0.54,5.01,2,2010,132,12
357,0.41,0.22,3.96,1,2015,133,12
358,8.29,3.37,9.88,2,2014,134,12
359,7.24,8.72,0.0,1,2020,135,12
360,4.2,0.14,4.56,2,2012,136,12
361,4.33,1.02,7.39,1,2015,137,12
362,3.71,6.73,4.81,2,2014,138,12
363,7.62,2.26,7.57,2,2019,139,12
364,8.35,3.37,2.29,2,2015,588,13
365,6.27,7.66,5.57,1,2015,589,13
366,6.09,6.26,1.0,1,2019,590,13
367,9.1,2.47,3.66,2,2011,591,13
368,1.86,4.07,0.0,1,2011,592,13
369,8.42,7.72,0.0,2,2014,593,13
370,1.61,8.65,6.32,1,2013,594,13
371,0.4,6.55,9.86,2,2013,595,13
372,5.54,5.27,2.26,1,2015,596,13
373,1.12,6.32,7.57,2,2017,597,13
374,6.86,8.65,0.0,2,2013,598,13
375,1.32,4.06,4.33,1,2019,599,13
376,6.82,9.85,0.0,1,2017,600,13
377,0.15,1.84,5.53,1,2020,601,13
378,8.51,6.5,0.0,2,2011,602,13
379,1.63,3.79,4.84,2,2015,603,13
380,2.51,7.37,0.69,2,2019,604,13
381,3.55,1.24,3.39,2,2013,605,13
382,5.13,1.61,8.53,1,2016,606,13
383,5.64,8.65,0.0,1,2019,607,13
384,2.94,9.5,5.58,2,2015,608,13
385,4.31,7.18,4.38,1,2011,609,13
386,0.32,0.96,9.52,1,2014,610,13
387,0.96,7.22,2.53,2,2017,611,13
388,3.63,4.01,7.5,2,2016,612,13
389,3.53,0.16,7.7,2,2017,613,13
390,2.18,4.53,3.87,1,2012,614,13
391,7.52,2.87,1.44,2,2018,615,13
392,9.85,6.85,0.0,1,2011,812,14
393,1.83,2.5,2.28,2,2016,813,14
394,1.84,8.36,8.0,2,2017,814,14
395,6.15,3.09,7.79,1,2018,815,14
396,6.7,3.1,8.38,1,2017,816,14
397,8.32,9.46,0.0,2,2014,817,14
398,8.61,3.09,8.55,1,2016,818,14
399,4.88,4.14,7.2,1,2015,819,14
400,6.21,3.07,0.83,2,2011,820,14
401,7.45,4.67,3.5,1,2017,821,14
402,6.79,7.12,3.19,1,2018,822,14
403,4.17,5.95,5.26,2,2016,823,14
404,1.33,5.77,6.66,2,2015,824,14
405,1.84,6.16,4.65,1,2014,825,14
406,9.83,3.08,8.7,2,2014,826,14
407,7.98,9.34,0.0,2,2014,827,14
408,5.78,8.71,0.0,1,2011,828,14
409,8.93,8.78,0.0,2,2016,829,14
410,9.35,3.53,5.31,1,2020,830,14
411,3.48,6.57,1.84,2,2011,831,14
412,4.95,0.28,9.84,1,2016,832,14
413,9.81,6.48,0.0,2,2019,833,14
414,9.84,4.54,0.0,1,2010,834,14
415,1.22,2.65,5.68,1,2015,835,14
416,8.83,2.85,3.82,1,2015,836,14
417,1.57,5.54,0.81,1,2014,837,14
418,8.85,3.67,1.69,1,2012,838,14
419,8.65,7.51,0.0,1,2015,839,14
420,7.51,4.8,6.95,1,2017,840,15
421,8.93,6.72,0.0,2,2018,841,15
422,6.15,9.74,0.0,1,2015,842,15
423,7.33,4.15,8.83,2,2016,843,15
424,2.83,5.84,7.33,2,2012,844,15
425,0.12,3.35,3.54,2,2020,845,15
426,4.97,3.39,9.24,1,2010,846,15
427,0.23,8.8,5.64,1,2018,847,15
428,6.32,3.9,2.19,2,2014,848,15
429,5.44,4.37,4.02,1,2015,849,15
430,9.37,7.52,0.0,2,2017,850,15
431,1.35,2.24,9.81,2,2017,851,15
432,5.76,1.34,8.83,2,2014,852,15
433,9.33,1.98,6.72,1,2016,853,15
434,7.59,1.54,2.31,1,2017,854,15
435,9.29,7.2,0.0,2,2012,855,15
436,3.47,8.19,4.88,1,2017,856,15
437,5.23,2.95,1.91,1,2015,857,15
438,2.71,8.6,4.59,2,2019,858,15
439,2.31,6.39,1.99,1,2015,859,15
440,9.41,1.51,9.65,2,2015,860,15
441,5.15,9.71,0.0,1,2018,861,15
442,1.59,0.21,0.19,1,2019,862,15
443,1.65,1.38,7.23,1,2020,863,15
444,2.49,3.73,2.59,2,2015,864,15
445,1.32,6.17,9.09,1,2015,865,15
446,1.18,8.11,8.48,2,2013,866,15
447,9.82,1.35,1.81,1,2012,867,15
448,9.34,8.74,0.0,1,2016,812,16
449,5.12,1.53,8.6,1,2016,813,16
450,0.59,6.9,6.24,1,2013,814,16
451,4.33,4.46,4.3,2,2017,815,16
452,0.98,0.5,7.0,2,2017,816,16
453,2.54,6.05,1.11,1,2010,817,16
454,9.0,4.85,7.72,2,2019,818,16
455,4.94,7.14,2.75,1,2018,819,16
456,0.38,6.97,6.67,2,2018,820,16
457,7.22,8.38,0.0,2,2018,821,16
458,4.63,3.51,7.35,1,2017,822,16
459,2.88,1.96,0.45,2,2012,823,16
460,2.77,4.07,9.03,1,2014,824,16
461,0.66,3.26,0.32,1,2014,825,16
462,4.47,1.99,5.53,1,2013,826,16
463,2.77,8.61,4.45,2,2015,827,16
464,8.48,7.95,0.0,1,2014,828,16
465,2.94,2.25,0.34,2,2015,829,16
466,8.07,6.38,0.0,2,2017,830,16
467,2.97,8.56,5.28,1,2011,831,16
468,2.83,3.14,8.22,2,2013,832,16
469,0.19,7.39,9.59,1,2015,833,16
470,9.73,8.79,0.0,2,2017,834,16
471,1.12,0.12,9.57,2,2017,835,16
472,8.93,3.37,7.62,2,2016,836,16
473,6.76,1.02,0.81,1,2013,837,16
474,5.48,8.41,7.64,2,2013,838,16
475,6.35,6.33,4.77,2,2017,839,16
476,4.06,0.13,7.67,2,2015,868,17
477,4.14,3.17,1.87,2,2015,869,17
478,0.34,1.94,6.66,1,2011,870,17
479,7.48,1.89,2.03,1,2020,871,17
480,1.58,8.28,4.3,1,2014,872,17
481,1.44,0.88,8.99,1,2015,873,17
482,4.95,5.85,5.16,2,2019,874,17
483,6.08,4.92,4.36,2,2012,875,17
484,1.12,2.84,5.9,2,2015,876,17
485,7.76,5.79,1.22,1,2018,877,17
486,1.34,5.79,5.39,1,2013,878,17
487,5.92,5.29,7.12,1,2019,879,17
488,3.9,1.3,5.33,2,2014,880,17
489,9.49,5.77,0.0,2,2017,881,17
490,6.69,8.07,0.0,1,2015,882,17
491,4.86,0.81,2.36,1,2013,883,17
492,2.1,3.5,0.49,2,2018,884,17
493,8.86,0.27,0.25,1,2013,885,17
494,8.89,9.1,0.0,1,2015,886,17
495,5.92,2.39,6.47,2,2013,887,17
496,7.75,2.96,0.82,2,2018,888,17
497,9.59,3.0,5.67,2,2015,889,17
498,2.06,3.2,4.06,2,2017,890,17
499,7.68,3.28,9.28,2,2018,891,17
500,5.41,5.32,7.75,1,2016,892,17
501,4.22,0.87,5.14,2,2018,893,17
502,9.9,3.05,2.51,1,2014,894,17
503,3.79,8.4,2.94,2,2016,895,17
504,5.09,6.08,6.82,1,2013,112,18
505,9.22,4.52,2.79,1,2018,113,18
506,6.64,6.55,4.28,2,2017,114,18
507,3.21,2.9,9.72,2,2015,115,18
508,6.74,2.05,5.34,2,2013,116,18
509,9.47,4.45,9.25,2,2015,117,18
510,4.51,8.03,2.92,2,2017,118,18
511,2.33,0.06,5.95,2,2017,119,18
512,5.05,7.77,4.69,2,2017,120,18
513,9.54,3.56,3.17,1,2014,121,18
514,9.69,0.72,2.51,1,2015,122,18
515,2.74,7.19,0.32,2,2017,123,18
516,3.44,7.32,1.1,2,2013,124,18
517,1.54,2.87,6.79,1,2014,125,18
518,9.72,2.43,5.26,2,2013,126,18
519,9.19,7.27,0.0,1,2014,127,18
520,9.09,5.41,0.0,2,2012,128,18
521,2.13,4.32,2.92,2,2017,129,18
522,6.24,2.74,7.91,1,2011,130,18
523,1.35,0.74,4.98,2,2011,131,18
524,8.54,6.39,0.0,1,2011,132,18
525,2.77,2.34,2.84,2,2013,133,18
526,2.5,8.87,8.88,1,2015,134,18
527,6.25,7.26,1.3,1,2019,135,18
528,2.03,8.36,6.92,1,2018,136,18
529,0.43,5.26,8.56,1,2011,137,18
530,3.94,4.13,3.7,2,2016,138,18
531,6.2,6.05,7.46,2,2013,139,18
532,3.43,4.06,9.21,1,2010,420,19
533,0.74,6.57,3.33,1,2018,421,19
534,5.61,0.31,2.07,2,2017,422,19
535,0.42,2.45,9.7,1,2015,423,19
536,1.65,5.72,2.09,1,2016,424,19
537,8.48,5.06,9.95,1,2017,425,19
538,1.12,2.98,8.5,2,2020,426,19
539,4.19,6.96,7.44,1,2016,427,19
540,1.24,0.78,2.82,2,2013,428,19
541,1.97,1.84,8.7,1,2015,429,19
542,1.56,1.33,4.29,1,2011,430,19
543,8.88,4.49,9.41,1,2014,431,19
544,3.87,9.47,3.22,1,2010,432,19
545,5.53,3.05,9.71,2,2019,433,19
546,5.58,2.02,6.54,1,2017,434,19
547,7.51,7.81,0.0,2,2015,435,19
548,3.95,7.32,8.6,1,2012,436,19
549,8.42,1.2,4.07,2,2016,437,19
550,8.86,8.48,0.0,1,2016,438,19
551,3.85,0.31,5.55,2,2014,439,19
552,0.02,7.56,0.76,1,2015,440,19
553,3.52,2.74,1.77,2,2016,441,19
554,9.42,2.52,9.29,1,2013,442,19
555,8.51,4.23,2.34,1,2011,443,19
556,5.65,7.31,8.35,1,2015,444,19
557,7.66,4.98,2.37,2,2019,445,19
558,8.31,5.08,4.14,2,2015,446,19
559,0.15,5.26,9.8,1,2013,447,19
560,4.02,4.1,1.08,2,2010,140,20
561,1.21,7.71,2.8,1,2015,141,20
562,0.14,6.52,4.74,2,2019,142,20
563,7.88,7.42,0.0,2,2018,143,20
564,4.89,3.78,5.5,2,2015,144,20
565,5.24,6.61,6.74,1,2014,145,20
566,1.46,6.56,0.99,2,2018,146,20
567,3.62,8.93,0.55,2,2013,147,20
568,7.26,4.3,9.27,2,2012,148,20
569,4.18,2.98,0.17,2,2018,149,20
570,3.39,5.79,5.16,2,2010,150,20
571,8.1,3.33,0.93,2,2015,151,20
572,6.51,7.45,4.79,1,2019,152,20
573,4.02,8.99,3.53,2,2014,153,20
574,9.75,5.24,0.0,1,2016,154,20
575,1.68,0.94,6.42,2,2011,155,20
576,9.06,4.44,5.67,1,2017,156,20
577,2.39,7.05,7.94,1,2011,157,20
578,1.62,2.9,1.59,1,2013,158,20
579,5.99,8.43,0.0,1,2019,159,20
580,2.27,7.78,7.34,1,2012,160,20
581,5.06,5.1,3.73,1,2016,161,20
582,8.85,2.48,2.74,2,2014,162,20
583,2.65,6.31,8.25,1,2016,163,20
584,8.01,7.85,0.0,1,2016,164,20
585,2.14,4.31,4.93,2,2018,165,20
586,2.06,0.08,7.39,1,2012,166,20
587,7.59,5.28,1.13,1,2016,167,20
588,7.61,7.7,0.0,1,2012,840,21
589,2.97,0.02,2.55,1,2012,841,21
590,0.81,4.21,0.93,1,2014,842,21
591,9.85,4.44,0.0,2,2011,843,21
592,2.67,2.54,1.57,2,2010,844,21
593,1.04,8.91,9.98,1,2013,845,21
594,9.8,4.88,0.0,2,2017,846,21
595,4.94,0.14,0.59,1,2015,847,21
596,2.88,9.44,7.67,2,2013,848,21
597,6.72,0.77,0.22,1,2012,849,21
598,6.04,8.41,0.0,1,2016,850,21
599,0.32,2.32,5.27,2,2014,851,21
600,2.48,3.18,5.06,1,2011,852,21
